@relation clustering_1_clustered

@attribute Instance_number numeric
@attribute requests/s numeric
@attribute processtime numeric
@attribute queuetime numeric
@attribute sendtime numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
388,1892.999814,0.003105,0.002976,0.00015,cluster2
389,1885.413505,0.002775,0.000339,0.000153,cluster2
390,2010.636118,0.003096,0.002592,0.000209,cluster2
391,2023.389209,0.00302,0.001637,0.000162,cluster2
392,2086.059488,0.003076,0.002039,0.000172,cluster2
393,2057.290866,0.003118,0.000966,0.000178,cluster2
394,2065.934702,0.003155,0.002145,0.000165,cluster2
395,2046.926825,0.002402,0.00037,0.000181,cluster2
396,2052.531094,0.002423,0.000276,0.00016,cluster2
397,2037.139226,0.002993,0.001732,0.000198,cluster2
398,2005.727107,0.003231,0.001443,0.000248,cluster2
399,1979.686523,0.003182,0.001016,0.00018,cluster2
400,1993.085467,0.002854,0.001524,0.000167,cluster2
401,2164.088569,0.003007,0.002031,0.000235,cluster2
402,2123.839311,0.003221,0.001955,0.000171,cluster2
403,2137.739998,0.003135,0.00259,0.000131,cluster2
404,1990.393774,0.002929,0.000419,0.00017,cluster2
405,1979.794126,0.003195,0.007625,0.000208,cluster2
406,2034.065908,0.00272,0.003273,0.000159,cluster2
407,2047.613987,0.002246,0.00017,0.000117,cluster2
408,2028.67546,0.002441,0.000604,0.000144,cluster2
409,2036.356565,0.002608,0.002073,0.000137,cluster2
410,2108.326171,0.002227,0.000148,0.000091,cluster2
411,2043.366125,0.002281,0.000295,0.000109,cluster2
412,2005.208218,0.002364,0.000703,0.000141,cluster2
413,2048.703079,0.002308,0.000407,0.000129,cluster2
414,2014.729868,0.002779,0.004059,0.000107,cluster2
415,2077.600429,0.002764,0.002046,0.000129,cluster2
416,2074.631719,0.002414,0.000502,0.000109,cluster2
417,2148.007206,0.002646,0.001002,0.00016,cluster2
418,2124.919123,0.003514,0.006834,0.000218,cluster2
419,2043.432174,0.003024,0.003488,0.000142,cluster2
420,2060.144445,0.003453,0.002196,0.000148,cluster2
421,2069.125025,0.003316,0.003109,0.000149,cluster2
422,2019.557598,0.003128,0.002173,0.00017,cluster2
423,2151.767457,0.003385,0.006415,0.00017,cluster2
424,2109.195528,0.002897,0.001091,0.000171,cluster2
425,2090.774183,0.003144,0.003407,0.000158,cluster2
426,2101.58582,0.003001,0.001824,0.000158,cluster2
427,2114.894048,0.003009,0.001873,0.000239,cluster2
428,2168.22603,0.003087,0.003756,0.000138,cluster2
429,2206.114084,0.002884,0.000669,0.000125,cluster2
430,2140.284611,0.003288,0.007758,0.000145,cluster2
431,2191.836998,0.003386,0.006708,0.00018,cluster2
432,2124.287259,0.003364,0.008165,0.000144,cluster2
433,2199.974698,0.003169,0.004015,0.000143,cluster2
434,2182.509781,0.003158,0.003443,0.000137,cluster2
435,2118.234533,0.002957,0.002307,0.000156,cluster2
436,2131.054908,0.003176,0.007265,0.000158,cluster2
437,2112.897297,0.003212,0.005601,0.00012,cluster2
438,2005.93647,0.003283,0.008166,0.00016,cluster2
439,2133.865287,0.003092,0.004383,0.000127,cluster2
440,2156.403925,0.003129,0.003336,0.000136,cluster2
441,2196.797354,0.003399,0.00465,0.000107,cluster2
442,2217.389266,0.003136,0.003178,0.000111,cluster2
443,2143.654775,0.003472,0.006986,0.000153,cluster2
444,2136.955834,0.003037,0.001509,0.000135,cluster2
445,2122.279229,0.003108,0.001867,0.000134,cluster2
446,2227.751354,0.003216,0.005963,0.000162,cluster2
447,2253.091937,0.003444,0.009728,0.000158,cluster1
448,2219.4316,0.00354,0.007961,0.000156,cluster1
449,2201.137805,0.003609,0.008319,0.000163,cluster1
450,2148.064907,0.00373,0.012524,0.000113,cluster1
451,2220.856807,0.003624,0.010011,0.000141,cluster1
452,2181.890873,0.003527,0.011107,0.000117,cluster1
453,2162.201746,0.003356,0.00616,0.000118,cluster2
454,2275.192054,0.002706,0.001807,0.000132,cluster2
455,2209.927968,0.003615,0.010411,0.000162,cluster1
456,2187.985882,0.003322,0.003851,0.000144,cluster2
457,2210.846907,0.004204,0.020949,0.000054,cluster1
458,2324.124021,0.003918,0.013546,0.000064,cluster1
459,2322.090785,0.003141,0.005113,0.000105,cluster2
460,2288.504984,0.003265,0.008465,0.000188,cluster2
461,2255.932312,0.003285,0.007593,0.000147,cluster2
462,2274.143741,0.00334,0.007572,0.000135,cluster2
463,2355.243791,0.003294,0.004957,0.000201,cluster2
464,2325.870862,0.003491,0.007797,0.0002,cluster1
465,2248.188263,0.003601,0.011765,0.00014,cluster1
466,2296.26377,0.004367,0.018681,0.000119,cluster1
467,2229.455795,0.003712,0.009091,0.000134,cluster1
468,2297.16859,0.003787,0.011147,0.000112,cluster1
469,2271.053314,0.003698,0.014247,0.000125,cluster1
470,2242.217196,0.00423,0.017224,0.000165,cluster1
471,2161.413438,0.004581,0.027297,0.000137,cluster1
472,2233.539089,0.004134,0.018054,0.000169,cluster1
473,2263.252371,0.003704,0.009224,0.000144,cluster1
474,2154.83941,0.003473,0.007223,0.000176,cluster2
475,2188.505223,0.003268,0.004768,0.000133,cluster2
476,2212.599771,0.003465,0.00627,0.000159,cluster2
477,2277.093399,0.003854,0.014066,0.000131,cluster1
478,2256.51604,0.003282,0.00436,0.000157,cluster2
479,2240.950651,0.003277,0.002847,0.000146,cluster2
480,2234.369436,0.00436,0.024837,0.000128,cluster1
