2024/03/07 21:38:19, %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 85.7 id, 14.3 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:22, %Cpu(s):  7.7 us,  0.0 sy,  0.0 ni, 92.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:24, %Cpu(s):  0.0 us,  5.9 sy,  0.0 ni, 94.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:26, %Cpu(s):  4.8 us,  7.1 sy,  0.0 ni, 78.6 id,  0.0 wa,  0.0 hi,  9.5 si,  0.0 st 
2024/03/07 21:38:28, %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:31, %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:33, %Cpu(s):  0.0 us, 11.1 sy,  0.0 ni, 88.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:35, %Cpu(s):  0.0 us,  8.3 sy,  0.0 ni, 91.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:37, %Cpu(s):  0.0 us,  6.7 sy,  0.0 ni, 93.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:39, %Cpu(s):  7.1 us,  0.0 sy,  0.0 ni, 92.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:42, %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:44, %Cpu(s):  0.0 us,  6.7 sy,  0.0 ni, 86.7 id,  0.0 wa,  0.0 hi,  6.7 si,  0.0 st 
2024/03/07 21:38:46, %Cpu(s):  5.3 us,  5.3 sy,  0.0 ni, 84.2 id,  0.0 wa,  0.0 hi,  5.3 si,  0.0 st 
2024/03/07 21:38:48, %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
2024/03/07 21:38:51, %Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
