Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/04 22:57:06;4306216;118768;3979724
2024/03/04 22:57:11;4305460;118824;3976084
2024/03/04 22:57:16;4300924;118880;3976080
2024/03/04 22:57:21;4301680;118900;3974736
2024/03/04 22:57:26;4289388;118916;3974112
2024/03/04 22:57:31;4292412;118932;3974112
2024/03/04 22:57:36;4292412;118940;3974112
2024/03/04 22:57:41;4292412;118968;3974444
2024/03/04 22:57:46;4304476;119004;3979816
2024/03/04 22:57:52;4305232;119012;3976176
2024/03/04 22:57:57;4308176;119028;3976176
2024/03/04 22:58:02;4273736;119052;3976184
2024/03/04 22:58:07;4273400;119072;3976188
2024/03/04 22:58:12;4269348;119100;3976188
2024/03/04 22:58:17;4273872;119140;3976192
2024/03/04 22:58:22;4273372;119176;3976212
2024/03/04 22:58:27;4274408;119216;3976212
2024/03/04 22:58:32;4274384;119248;3976220
2024/03/04 22:58:37;4274156;119264;3976224
2024/03/04 22:58:42;4273400;119300;3974400
2024/03/04 22:58:47;4272392;119324;3974176
2024/03/04 22:58:52;4267100;119344;3975780
2024/03/04 22:58:57;4265336;119360;3975780
2024/03/04 22:59:02;4261556;119388;3975780
2024/03/04 22:59:07;4261052;119424;3975772
2024/03/04 22:59:12;4265336;119460;3975772
2024/03/04 22:59:17;4264580;119484;3975772
2024/03/04 22:59:22;4263332;119508;3974200
2024/03/04 22:59:27;4257536;119528;3974952
2024/03/04 22:59:33;4258292;119564;3974384
2024/03/04 22:59:38;4252496;119596;3974212
2024/03/04 22:59:43;4247484;119628;3975808
2024/03/04 22:59:48;4251688;119652;3974592
2024/03/04 22:59:53;4230772;119712;3978076
2024/03/04 22:59:58;4196764;119728;3974544
2024/03/04 23:00:03;4184696;119760;3974564
2024/03/04 23:00:09;4174072;119840;3974676
2024/03/04 23:00:15;4164748;119880;3977872
2024/03/04 23:00:21;4158196;119908;3974460
2024/03/04 23:00:26;4151952;119956;3974516
2024/03/04 23:00:31;4150192;119996;3978200
2024/03/04 23:00:36;4152652;120024;3974548
2024/03/04 23:00:42;4148872;120076;3974556
2024/03/04 23:00:47;4519856;120124;3972292
2024/03/04 23:00:52;4425688;120188;3976600
2024/03/04 23:00:57;4372332;120212;3974672
2024/03/04 23:01:03;4377572;120252;3974672
2024/03/04 23:01:08;4341100;120292;3976760
2024/03/04 23:01:13;4339840;120312;3976764
2024/03/04 23:01:18;4340068;120328;3976764
2024/03/04 23:01:23;4322704;120372;3976776
2024/03/04 23:01:28;4280116;120428;3976804
2024/03/04 23:01:33;4279896;120464;3976796
2024/03/04 23:01:38;4281664;120492;3980452
2024/03/04 23:01:43;4283176;120500;3976812
2024/03/04 23:01:48;4287896;120524;3976860
2024/03/04 23:01:53;4285188;120548;3978420
2024/03/04 23:01:58;4277628;120572;3976380
2024/03/04 23:02:03;4273848;120584;3976380
2024/03/04 23:02:08;4273096;120600;3976656
2024/03/04 23:02:13;4273600;120624;3973004
2024/03/04 23:02:18;4259640;120640;3978572
2024/03/04 23:02:24;4260660;120692;3974960
2024/03/04 23:02:29;4260660;120712;3974956
2024/03/04 23:02:34;4260912;120720;3974956
2024/03/04 23:02:39;4257132;120748;3980200
2024/03/04 23:02:44;4260156;120776;3976564
2024/03/04 23:02:49;4263628;120812;3975408
2024/03/04 23:02:54;4263376;120848;3975368
2024/03/04 23:02:59;4246744;120872;3975376
2024/03/04 23:03:04;4246492;120884;3975428
2024/03/04 23:03:09;4245988;120920;3975424
2024/03/04 23:03:14;4248508;120960;3977500
2024/03/04 23:03:19;4245232;120980;3977500
2024/03/04 23:03:24;4245232;120988;3980920
2024/03/04 23:03:29;4244980;121004;3977524
2024/03/04 23:03:34;4244492;121032;3977528
2024/03/04 23:03:39;4242504;121040;3978904
2024/03/04 23:03:44;4242504;121052;3975488
2024/03/04 23:03:49;4242252;121080;3975888
2024/03/04 23:03:54;4242252;121096;3975904
2024/03/04 23:04:00;4242000;121128;3975904
2024/03/04 23:04:05;4241748;121168;3975904
2024/03/04 23:04:10;4241500;121192;3975912
2024/03/04 23:04:15;4251428;121204;3975912
2024/03/04 23:04:20;4251176;121212;3975920
2024/03/04 23:04:25;4250924;121268;3975924
2024/03/04 23:04:30;4245152;121312;3978000
2024/03/04 23:04:35;4240620;121348;3978012
2024/03/04 23:04:40;4240716;121360;3978244
2024/03/04 23:04:45;4240620;121404;3978024
2024/03/04 23:04:50;4240368;121448;3978060
2024/03/04 23:04:55;4241552;121460;3978248
2024/03/04 23:05:00;4240572;121484;3977992
2024/03/04 23:05:05;4236540;121504;3977992
2024/03/04 23:05:10;4238052;121528;3977996
2024/03/04 23:05:15;4238304;121556;3977988
