Timestamp;% CPU (global);% CPU (user);% CPU (system)
2024/03/03 00:57:13;20.0;0.0;9.5
2024/03/03 00:57:16;10.3;0.0;3.8
2024/03/03 00:57:18;11.5;0.6;3.8
2024/03/03 00:57:20;15.1;0.4;5.4
2024/03/03 00:57:23;13.6;0.6;5.2
2024/03/03 00:57:25;32.1;2.2;14.6
2024/03/03 00:57:28;15.2;0.0;6.2
2024/03/03 00:57:32;14.7;0.3;4.1
2024/03/03 00:57:35;15.2;0.7;9.0
2024/03/03 00:57:37;20.3;3.4;7.4
2024/03/03 00:57:40;11.9;1.5;2.2
2024/03/03 00:57:42;11.7;0.7;2.9
2024/03/03 00:57:44;19.7;0.6;9.2
2024/03/03 00:57:47;9.5;0.9;6.0
2024/03/03 00:57:50;41.3;0.0;7.6
2024/03/03 00:57:54;2.3;0.0;1.2
2024/03/03 00:57:58;12.0;0.0;4.0
2024/03/03 00:58:01;19.4;1.0;10.2
2024/03/03 00:58:04;31.9;0.0;10.1
2024/03/03 00:58:09;10.8;0.7;0.7
2024/03/03 00:58:15;6.9;0.0;4.2
2024/03/03 00:58:19;5.7;0.0;1.0
2024/03/03 00:58:22;22.4;1.3;11.8
2024/03/03 00:58:26;35.0;0.0;20.0
2024/03/03 00:58:30;5.9;1.3;2.0
2024/03/03 00:58:32;5.1;0.6;2.5
2024/03/03 00:58:34;4.9;0.6;1.9
2024/03/03 00:58:37;6.2;0.9;3.6
2024/03/03 00:58:40;23.3;0.4;7.6
2024/03/03 00:58:45;29.3;0.0;17.1
2024/03/03 00:58:48;15.4;0.0;5.1
2024/03/03 00:58:52;13.0;1.1;6.5
2024/03/03 00:58:55;31.2;0.0;20.4
2024/03/03 00:59:00;9.5;0.0;5.3
2024/03/03 00:59:04;15.5;1.0;4.9
2024/03/03 00:59:08;13.7;0.0;5.0
2024/03/03 00:59:12;21.8;1.4;7.5
2024/03/03 00:59:16;33.3;0.0;5.0
2024/03/03 00:59:19;12.7;0.7;3.5
2024/03/03 00:59:23;30.2;0.0;5.8
2024/03/03 00:59:26;23.0;0.8;5.7
2024/03/03 00:59:29;15.3;0.0;4.7
2024/03/03 00:59:32;9.4;1.7;4.3
2024/03/03 00:59:35;11.2;0.6;0.6
2024/03/03 00:59:38;13.4;0.7;6.0
2024/03/03 00:59:40;10.1;0.0;5.3
2024/03/03 00:59:43;30.0;0.0;2.9
2024/03/03 00:59:46;19.9;0.6;8.8
2024/03/03 00:59:49;7.0;0.0;1.2
2024/03/03 00:59:52;12.8;0.0;5.5
2024/03/03 00:59:55;17.7;0.0;5.2
2024/03/03 00:59:58;12.0;0.0;3.8
2024/03/03 01:00:02;22.8;2.0;9.9
2024/03/03 01:00:05;37.1;0.8;12.9
2024/03/03 01:00:08;5.0;0.0;2.5
2024/03/03 01:00:10;4.2;0.6;1.8
2024/03/03 01:00:13;13.9;0.0;1.3
2024/03/03 01:00:16;18.8;1.2;4.7
2024/03/03 01:00:19;9.7;0.6;4.5
2024/03/03 01:00:22;18.6;0.0;4.2
2024/03/03 01:00:26;50.4;0.8;10.5
2024/03/03 01:00:30;15.4;0.0;2.3
2024/03/03 01:00:33;9.2;0.0;3.1
2024/03/03 01:00:36;25.7;0.7;3.7
2024/03/03 01:00:39;9.6;0.6;2.4
2024/03/03 01:00:41;13.2;0.9;4.4
2024/03/03 01:00:44;15.5;1.0;3.9
2024/03/03 01:00:47;2.0;0.0;1.3
2024/03/03 01:00:51;15.2;0.0;5.1
2024/03/03 01:00:54;10.1;0.6;3.8
2024/03/03 01:00:57;14.6;1.8;5.8
2024/03/03 01:01:00;26.8;2.8;5.6
2024/03/03 01:01:03;40.0;2.9;14.3
2024/03/03 01:01:06;36.6;3.2;9.7
2024/03/03 01:01:09;12.7;0.6;6.4
2024/03/03 01:01:12;9.7;0.5;1.0
2024/03/03 01:01:15;13.9;0.9;2.6
2024/03/03 01:01:19;12.6;0.0;2.8
2024/03/03 01:01:21;12.4;0.5;4.6
2024/03/03 01:01:23;11.1;0.0;3.5
2024/03/03 01:01:28;4.7;0.0;2.1
2024/03/03 01:01:32;40.6;0.0;6.2
2024/03/03 01:01:36;16.9;2.2;10.1
2024/03/03 01:01:40;43.2;0.6;6.2
2024/03/03 01:01:43;25.9;1.9;5.6
2024/03/03 01:01:46;8.3;1.8;2.8
2024/03/03 01:01:49;13.9;1.0;3.8
2024/03/03 01:01:52;14.2;0.6;4.9
2024/03/03 01:01:55;10.3;0.0;4.5
2024/03/03 01:01:58;20.8;0.0;5.8
2024/03/03 01:02:02;27.5;2.0;9.4
2024/03/03 01:02:05;3.2;0.0;1.3
2024/03/03 01:02:07;4.6;0.7;2.6
2024/03/03 01:02:09;7.5;1.3;2.5
2024/03/03 01:02:12;2.0;0.0;1.3
2024/03/03 01:02:14;3.7;0.6;1.2
2024/03/03 01:02:16;2.6;0.0;1.3
2024/03/03 01:02:18;2.4;0.6;0.6
2024/03/03 01:02:20;3.2;0.0;1.3
2024/03/03 01:02:23;3.8;0.0;1.9
2024/03/03 01:02:25;3.9;0.7;1.3
2024/03/03 01:02:27;3.1;0.6;0.0
2024/03/03 01:02:29;5.3;0.7;3.3
2024/03/03 01:02:31;3.9;0.7;1.3
2024/03/03 01:02:34;2.7;0.0;0.7
2024/03/03 01:02:36;5.3;2.0;2.0
2024/03/03 01:02:38;3.7;0.0;2.1
2024/03/03 01:02:40;2.6;0.6;0.6
2024/03/03 01:02:43;3.9;0.6;0.6
2024/03/03 01:02:45;4.4;0.6;0.6
2024/03/03 01:02:48;4.1;0.0;1.8
2024/03/03 01:02:50;4.6;0.0;1.3
2024/03/03 01:02:52;2.6;0.0;0.6
2024/03/03 01:02:54;3.0;0.6;1.2
2024/03/03 01:02:57;4.4;0.6;1.9
2024/03/03 01:02:59;2.2;0.0;0.6
2024/03/03 01:03:01;4.0;0.0;2.0
2024/03/03 01:03:04;4.0;0.7;0.7
2024/03/03 01:03:06;3.8;0.6;0.6
2024/03/03 01:03:08;2.6;0.0;0.6
2024/03/03 01:03:11;2.5;0.0;1.2
2024/03/03 01:03:13;3.3;0.0;1.7
2024/03/03 01:03:16;2.6;0.0;0.6
2024/03/03 01:03:18;5.9;1.2;2.4
2024/03/03 01:03:20;4.4;1.3;0.6
2024/03/03 01:03:22;4.9;0.6;2.5
2024/03/03 01:03:24;3.9;0.0;1.3
2024/03/03 01:03:27;4.0;0.6;1.1
2024/03/03 01:03:29;2.5;0.6;0.6
2024/03/03 01:03:32;5.3;0.7;2.6
2024/03/03 01:03:34;4.5;1.3;0.6
2024/03/03 01:03:36;6.9;0.7;3.5
2024/03/03 01:03:38;3.8;0.6;1.9
2024/03/03 01:03:41;5.2;0.6;1.3
2024/03/03 01:03:43;3.9;0.0;0.7
2024/03/03 01:03:45;5.7;0.6;1.9
2024/03/03 01:03:47;3.9;0.6;0.6
2024/03/03 01:03:49;2.0;0.0;0.7
2024/03/03 01:03:52;5.2;0.7;1.3
2024/03/03 01:03:54;3.2;0.6;0.6
2024/03/03 01:03:56;2.6;0.7;0.7
2024/03/03 01:03:58;2.6;0.6;0.6
2024/03/03 01:04:00;1.6;0.0;0.5
2024/03/03 01:04:03;3.4;0.7;1.3
2024/03/03 01:04:05;2.0;0.0;0.0
2024/03/03 01:04:07;3.3;0.7;1.3
2024/03/03 01:04:09;4.5;0.6;1.9
2024/03/03 01:04:12;4.0;0.0;2.0
2024/03/03 01:04:14;4.4;0.6;1.3
2024/03/03 01:04:16;3.7;0.6;1.2
2024/03/03 01:04:18;4.4;0.6;1.3
2024/03/03 01:04:20;4.0;0.7;1.3
2024/03/03 01:04:23;2.6;0.0;0.7
2024/03/03 01:04:25;3.7;0.6;1.9
2024/03/03 01:04:28;3.2;1.3;0.6
2024/03/03 01:04:30;4.5;0.6;1.9
2024/03/03 01:04:32;6.3;1.3;1.9
2024/03/03 01:04:34;4.7;0.0;1.3
2024/03/03 01:04:37;3.3;0.7;0.7
2024/03/03 01:04:39;4.4;0.0;3.1
2024/03/03 01:04:41;3.9;0.0;1.3
2024/03/03 01:04:43;3.2;0.0;0.6
2024/03/03 01:04:45;2.6;0.6;0.6
2024/03/03 01:04:48;2.0;0.0;1.3
2024/03/03 01:04:50;3.2;0.0;0.6
2024/03/03 01:04:52;3.8;0.6;1.9
2024/03/03 01:04:54;3.9;0.6;1.9
2024/03/03 01:04:57;3.9;0.0;1.9
2024/03/03 01:04:59;3.3;0.7;1.3
2024/03/03 01:05:01;5.7;1.3;1.3
2024/03/03 01:05:03;3.3;0.7;0.7
2024/03/03 01:05:05;5.1;0.6;2.6
2024/03/03 01:05:07;5.8;0.6;2.6
2024/03/03 01:05:10;3.2;0.0;1.3
2024/03/03 01:05:12;2.9;0.6;1.2
2024/03/03 01:05:14;4.5;0.6;1.3
2024/03/03 01:05:16;4.5;0.0;1.9
2024/03/03 01:05:19;4.6;0.7;1.3
2024/03/03 01:05:21;4.4;0.6;1.2
2024/03/03 01:05:23;2.6;0.6;0.6
2024/03/03 01:05:25;9.9;0.0;7.0
2024/03/03 01:05:28;3.2;0.6;1.3
2024/03/03 01:05:30;3.3;0.7;1.3
2024/03/03 01:05:32;11.1;0.0;1.2
2024/03/03 01:05:34;5.3;0.7;2.6
2024/03/03 01:05:37;3.2;0.6;0.6
2024/03/03 01:05:39;6.6;1.3;2.0
2024/03/03 01:05:41;7.6;1.3;2.5
2024/03/03 01:05:43;6.2;0.6;2.5
2024/03/03 01:05:46;5.4;0.7;1.4
2024/03/03 01:05:48;5.2;0.0;2.6
2024/03/03 01:05:50;6.5;1.3;1.9
2024/03/03 01:05:52;7.8;0.7;2.6
2024/03/03 01:05:54;5.0;0.6;2.5
2024/03/03 01:05:57;4.6;0.7;2.0
2024/03/03 01:05:59;2.7;0.0;0.7
2024/03/03 01:06:01;1.9;0.6;0.0
2024/03/03 01:10:49;84.7;6.5;53.2
2024/03/03 01:10:52;54.6;16.2;25.4
2024/03/03 01:10:54;31.0;3.2;15.1
2024/03/03 01:10:56;13.4;5.4;5.4
2024/03/03 01:10:58;39.5;17.7;17.7
2024/03/03 01:11:00;38.6;6.3;22.0
2024/03/03 01:11:03;83.7;5.4;53.5
2024/03/03 01:11:05;88.5;19.8;54.2
2024/03/03 01:11:07;77.0;5.9;46.1
2024/03/03 01:11:10;20.0;3.8;8.8
2024/03/03 01:11:12;14.9;1.4;8.1
2024/03/03 01:11:14;36.4;3.8;19.7
2024/03/03 01:11:16;35.8;4.5;20.9
2024/03/03 01:11:18;32.6;4.7;13.2
2024/03/03 01:11:21;50.8;3.1;25.4
2024/03/03 01:11:23;37.3;1.4;9.9
2024/03/03 01:11:25;51.6;3.2;29.8
2024/03/03 01:11:28;49.6;5.6;28.8
2024/03/03 01:11:30;41.8;9.0;14.9
2024/03/03 01:11:32;41.7;0.8;18.9
2024/03/03 01:11:34;37.7;2.3;23.1
2024/03/03 01:11:37;34.3;5.1;18.2
2024/03/03 01:11:39;40.3;15.1;13.7
2024/03/03 01:11:41;22.5;2.8;12.0
2024/03/03 01:11:43;14.5;8.6;3.3
